direction,split,resource_level,direction_group,n,n_no_hallucination,n_hallucination,pct_hallucination,paper_n,paper_n_hallucination,matches_paper
AR-EN,test,HRL,HRL->EN,156,132,24,15.38,156,24,True
EN-AR,test,HRL,EN->HRL,144,136,8,5.56,144,8,True
EN-ES,test,HRL,EN->HRL,153,131,22,14.38,153,22,True
EN-RU,test,HRL,EN->HRL,146,141,5,3.42,146,5,True
EN-ZH,test,HRL,EN->HRL,160,131,29,18.12,160,29,True
ES-EN,test,HRL,HRL->EN,160,127,33,20.62,160,33,True
RU-EN,test,HRL,HRL->EN,158,146,12,7.59,158,12,True
ZH-EN,test,HRL,HRL->EN,159,127,32,20.13,159,32,True
EN-KS,test,LRL,EN->LRL,184,111,73,39.67,184,73,True
EN-MN,test,LRL,EN->LRL,197,78,119,60.41,197,119,True
EN-YO,test,LRL,EN->LRL,195,166,29,14.87,195,29,True
ES-YO,test,LRL,ES->LRL,151,97,54,35.76,151,54,True
KS-EN,test,LRL,LRL->EN,151,89,62,41.06,151,62,True
MN-EN,test,LRL,LRL->EN,152,43,109,71.71,152,109,True
YO-EN,test,LRL,LRL->EN,146,124,22,15.07,146,22,True
YO-ES,test,LRL,LRL->ES,152,80,72,47.37,152,72,True
DE-EN,validation,HRL,HRL->EN,155,140,15,9.68,155,15,True
EN-DE,validation,HRL,EN->HRL,146,132,14,9.59,146,14,True
