direction,split,1_No_hallucination,2_Small_hallucination,3_Partial_hallucination,4_Full_hallucination,total
AR-EN,test,132,5,2,17,156
EN-AR,test,136,2,2,4,144
EN-ES,test,131,8,3,11,153
EN-KS,test,111,8,30,35,184
EN-MN,test,78,52,54,13,197
EN-RU,test,141,1,2,2,146
EN-YO,test,166,4,11,14,195
EN-ZH,test,131,5,4,20,160
ES-EN,test,127,17,4,12,160
ES-YO,test,97,16,29,9,151
KS-EN,test,89,15,32,15,151
MN-EN,test,43,45,58,6,152
RU-EN,test,146,3,2,7,158
YO-EN,test,124,4,10,8,146
YO-ES,test,80,26,37,9,152
ZH-EN,test,127,9,7,16,159
DE-EN,validation,140,2,2,11,155
EN-DE,validation,132,3,2,9,146
